date,spx,dax
20/11/2002,914.150024,3212.98999
21/11/2002,933.76001,3304.629883
22/11/2002,930.549988,3320.879883
25/11/2002,932.869995,3299.23999
26/11/2002,913.309998,3191.629883
27/11/2002,938.869995,3346.139893
29/11/2002,936.309998,3320.320068
02/12/2002,934.530029,3380.199951
03/12/2002,920.75,3280.48999
04/12/2002,917.580017,3320.75
05/12/2002,906.549988,3224.73999
06/12/2002,912.22998,3207.530029
09/12/2002,892,3065.570068
10/12/2002,904.450012,3167.98999
11/12/2002,904.960022,3196.050049
12/12/2002,901.580017,3111.879883
13/12/2002,889.47998,3077.060059
16/12/2002,910.400024,3205.290039
17/12/2002,902.98999,3139.969971
18/12/2002,891.119995,3022.689941
19/12/2002,884.25,2961.409912
20/12/2002,895.76001,3024.219971
